Date,MMM,AXP,AMGN.O,AAPL.O,BA,CAT,CVX,CSCO.O,KO,DIS,DOW,GS,HD,HON.O,IBM,INTC.O,JNJ,JPM,MCD,MRK,MSFT.O,NKE,PG,CRM,TRV,UNH,V,VZ,WBA.O,WMT
2023/6/20,-2.14%,-1.63%,-0.47%,0.05%,-3.46%,-1.68%,-2.28%,-1.00%,-0.66%,-1.72%,-2.33%,-2.24%,0.34%,-1.27%,-1.11%,-3.77%,-0.06%,-0.51%,-0.22%,0.83%,-1.25%,-3.57%,-0.92%,2.46%,-0.67%,2.38%,-1.78%,-1.07%,-0.86%,-0.88%
2023/6/16,0.70%,-0.92%,0.53%,-0.59%,0.26%,-0.97%,-0.64%,0.27%,0.72%,-1.74%,-0.60%,-0.42%,-0.54%,-0.37%,-0.66%,1.54%,0.31%,0.12%,0.37%,-0.07%,-1.66%,1.05%,0.73%,-0.08%,0.44%,-1.59%,0.05%,1.21%,2.03%,-1.39%
2023/6/15,1.82%,-0.38%,2.77%,1.12%,1.16%,1.79%,0.76%,1.90%,0.61%,0.53%,1.27%,0.39%,0.77%,1.60%,0.87%,0.67%,1.34%,1.13%,1.45%,0.68%,3.19%,-0.40%,1.39%,1.20%,1.39%,1.31%,1.99%,1.22%,1.62%,0.55%
2023/6/14,-0.77%,-0.38%,0.13%,0.35%,-1.58%,-0.86%,-0.90%,0.31%,0.68%,-1.49%,-0.62%,-1.19%,-0.12%,-0.29%,-0.29%,4.92%,0.51%,-0.37%,-0.04%,-1.21%,0.91%,5.69%,0.94%,0.20%,-1.46%,-6.40%,0.70%,0.02%,-1.38%,1.01%
2023/6/13,1.46%,0.86%,2.13%,-0.26%,-0.53%,3.17%,0.75%,0.63%,0.40%,0.76%,2.59%,0.89%,-0.26%,1.31%,0.86%,2.54%,0.53%,0.72%,-0.01%,0.12%,0.74%,-0.05%,-0.24%,-2.20%,0.77%,-0.26%,-0.37%,-1.22%,0.98%,0.78%
2023/6/12,1.36%,1.12%,-0.64%,1.56%,1.96%,1.22%,-0.96%,1.65%,-0.43%,1.32%,0.12%,1.03%,1.18%,0.31%,0.83%,5.52%,-0.07%,-0.01%,0.62%,-0.77%,1.55%,0.92%,-0.78%,-0.75%,-0.47%,-0.21%,0.39%,1.17%,0.70%,0.66%
2023/6/9,-0.85%,0.34%,-0.91%,0.22%,-0.37%,0.25%,-0.24%,-0.04%,0.17%,-0.65%,-1.97%,0.16%,-1.24%,-0.13%,0.66%,-1.51%,-0.16%,0.20%,0.35%,0.35%,0.47%,-0.32%,0.08%,2.76%,0.39%,0.69%,0.11%,0.23%,-1.35%,0.60%
2023/6/8,-0.24%,-0.24%,-0.22%,1.55%,2.92%,-0.47%,-0.37%,-0.20%,0.25%,0.01%,-2.02%,-0.08%,-0.20%,-0.12%,0.02%,1.73%,1.10%,0.03%,1.38%,1.57%,0.58%,-0.83%,1.13%,1.85%,-0.49%,1.68%,0.48%,-0.99%,-0.25%,1.45%
2023/6/7,2.76%,-0.16%,0.01%,-0.78%,2.24%,3.91%,2.59%,-0.06%,-0.15%,0.39%,2.43%,2.74%,1.93%,1.04%,1.27%,1.03%,0.21%,0.97%,-0.93%,-1.27%,-3.09%,0.85%,0.21%,-3.35%,0.47%,-1.12%,1.61%,-1.29%,1.27%,0.15%
2023/6/6,0.32%,2.62%,-0.30%,-0.21%,-0.71%,1.89%,0.18%,-0.80%,-0.72%,1.27%,2.12%,1.55%,0.99%,-0.43%,0.04%,3.68%,-0.09%,0.18%,-1.35%,-2.74%,-0.67%,0.94%,-0.99%,1.42%,0.33%,-2.13%,0.70%,0.64%,0.90%,-0.01%
2023/6/5,-4.44%,-0.67%,1.75%,-0.76%,-2.13%,-1.84%,-0.48%,0.38%,-0.67%,0.25%,-0.21%,-0.57%,-0.96%,-0.84%,0.17%,-4.63%,0.86%,-0.98%,-0.51%,0.52%,0.16%,-2.39%,-0.40%,-1.49%,-0.43%,-0.28%,-0.35%,-0.88%,0.19%,0.66%
2023/6/2,8.75%,3.59%,1.77%,0.48%,2.58%,8.40%,2.69%,0.56%,1.93%,2.46%,5.33%,2.29%,2.62%,2.57%,2.00%,0.58%,1.57%,2.10%,0.71%,1.43%,0.85%,4.00%,1.78%,0.06%,2.24%,1.21%,-3.19%,1.01%,2.87%,0.96%
2023/6/1,1.04%,2.62%,-2.89%,1.60%,1.10%,1.61%,1.02%,0.14%,0.57%,0.72%,0.45%,-2.32%,1.74%,1.18%,0.96%,-0.99%,-0.34%,1.38%,0.97%,0.47%,1.28%,-1.55%,1.02%,-4.69%,1.22%,1.31%,0.25%,2.47%,-0.16%,0.37%
2023/5/31,-2.86%,0.35%,0.97%,-0.03%,0.49%,-1.98%,-1.63%,-1.00%,-0.20%,0.16%,-1.45%,-2.09%,-3.06%,-1.52%,-0.69%,4.83%,0.45%,-1.27%,0.07%,1.14%,-0.85%,-1.18%,-0.47%,2.06%,-2.34%,1.54%,2.09%,-0.28%,1.47%,0.55%
2023/5/30,-0.91%,0.49%,0.74%,1.07%,0.52%,-0.90%,-0.62%,0.62%,-0.80%,-0.53%,-1.67%,-0.36%,-0.15%,0.41%,0.46%,3.41%,0.01%,0.38%,-0.39%,-1.71%,-0.50%,-0.92%,-1.53%,1.59%,0.58%,-0.35%,-0.29%,-1.50%,-0.27%,-0.25%
2023/5/26,-0.11%,4.08%,-0.24%,1.41%,1.37%,0.87%,-0.31%,1.69%,-0.25%,0.17%,-0.06%,2.51%,2.12%,0.77%,1.68%,5.84%,-0.04%,0.94%,0.18%,-1.10%,2.14%,0.03%,0.01%,2.63%,-0.79%,0.80%,0.52%,0.73%,0.13%,0.18%
2023/5/25,0.06%,0.24%,-1.74%,0.67%,0.80%,0.13%,-1.72%,1.28%,-0.77%,-1.04%,-1.85%,1.27%,-1.49%,0.21%,0.86%,-5.52%,-1.44%,0.24%,-0.14%,-1.14%,3.85%,-0.75%,-0.64%,0.41%,-1.32%,-0.65%,-2.93%,0.51%,-2.66%,-1.00%
2023/5/24,-3.68%,-1.21%,-1.39%,0.16%,-1.64%,-1.42%,0.27%,-1.02%,-0.85%,-0.84%,-1.23%,-1.16%,-1.30%,-1.60%,-1.95%,-1.73%,-0.10%,-0.92%,-0.16%,0.29%,-0.45%,-0.45%,-0.83%,1.17%,-1.85%,0.29%,-1.02%,-1.04%,-2.56%,-0.46%
2023/5/23,-0.99%,-1.90%,0.20%,-1.52%,-1.61%,-0.72%,2.89%,0.18%,-0.18%,-2.18%,0.37%,-0.42%,1.47%,-1.00%,0.53%,-2.54%,-0.04%,-1.04%,-1.03%,-1.07%,-1.84%,-1.27%,-1.08%,-1.72%,-0.99%,-0.25%,0.78%,-2.90%,1.31%,-0.19%
2023/5/22,2.71%,1.67%,0.26%,-0.55%,0.20%,-0.24%,-1.80%,-0.63%,-2.10%,0.51%,-0.35%,-0.38%,-0.08%,-0.21%,0.19%,1.17%,-1.28%,-0.83%,-2.10%,-0.87%,0.89%,-3.99%,-2.62%,-0.05%,-1.43%,0.38%,-0.25%,-0.87%,-0.29%,-0.88%
2023/5/19,-0.61%,-0.35%,-0.36%,0.06%,-0.84%,0.03%,0.79%,1.93%,0.05%,-2.57%,0.15%,-1.04%,-1.45%,-0.45%,0.88%,0.84%,0.27%,-0.23%,0.51%,1.31%,-0.06%,-3.46%,0.42%,-1.39%,0.21%,-0.09%,-0.22%,-0.12%,-0.57%,-1.03%
2023/5/18,-0.54%,0.91%,-0.35%,1.37%,0.18%,1.24%,-1.09%,1.20%,-0.55%,1.07%,0.76%,-0.18%,0.95%,1.14%,0.35%,2.81%,-0.32%,0.76%,0.20%,-0.66%,1.44%,1.62%,-1.64%,1.88%,0.91%,-1.15%,-0.14%,0.41%,-1.81%,1.30%
2023/5/17,2.21%,2.48%,-1.26%,0.36%,2.99%,2.36%,1.43%,1.51%,-0.11%,1.97%,0.82%,2.92%,3.56%,2.30%,1.82%,-1.20%,-0.22%,3.07%,-0.23%,-1.14%,0.72%,0.43%,-0.42%,2.36%,0.09%,1.06%,0.36%,0.95%,2.20%,-0.17%
2023/5/16,-2.47%,-1.06%,-2.42%,0.00%,-0.94%,-1.94%,-2.35%,-0.38%,-1.13%,-2.02%,-2.30%,-0.39%,-2.15%,-1.39%,0.08%,-1.95%,-0.13%,-0.67%,-0.59%,-0.25%,0.74%,-2.80%,-0.17%,0.60%,-0.71%,-1.47%,-1.96%,-1.01%,-0.48%,-1.38%
2023/5/15,0.22%,1.40%,0.25%,-0.29%,1.03%,0.84%,0.37%,0.83%,-0.27%,0.95%,-0.10%,0.80%,-0.66%,0.36%,0.42%,2.94%,-0.77%,0.84%,-0.08%,-0.66%,0.16%,-0.32%,0.03%,0.75%,0.40%,-0.89%,-2.18%,0.62%,1.38%,-0.78%
2023/5/12,-0.51%,-0.04%,0.28%,-0.68%,-0.56%,-0.23%,0.26%,0.73%,0.39%,-0.35%,-0.06%,-0.38%,0.97%,-0.19%,1.60%,0.31%,-0.13%,-1.43%,0.46%,-0.35%,-0.37%,-1.64%,1.02%,-0.82%,-0.39%,0.51%,-0.03%,0.16%,-0.32%,-0.03%
2023/5/11,-0.12%,-0.46%,-0.78%,0.11%,0.50%,-1.47%,-0.55%,-0.73%,0.57%,-8.73%,-2.08%,-0.57%,-0.46%,-1.70%,-0.92%,-3.70%,-0.41%,-0.32%,-0.60%,-0.30%,-0.70%,-1.04%,0.23%,-0.67%,-0.19%,-0.27%,-0.08%,-0.11%,-1.33%,0.37%
2023/5/10,0.10%,-3.06%,-0.14%,1.04%,-0.52%,-0.15%,-1.28%,0.52%,0.17%,-1.02%,-0.41%,-0.68%,-0.53%,0.11%,0.70%,-0.43%,0.37%,0.05%,-0.03%,0.40%,1.73%,-1.27%,0.21%,1.82%,-0.32%,-0.06%,0.16%,-0.85%,0.48%,-0.28%
2023/5/9,-1.50%,0.22%,-0.08%,-1.00%,2.34%,-0.61%,-0.29%,0.28%,-0.83%,-0.77%,-0.89%,-0.53%,0.92%,0.09%,-1.81%,-2.18%,-0.78%,-0.48%,-0.01%,-0.80%,-0.53%,-1.40%,-1.02%,1.66%,0.65%,-0.45%,-0.69%,0.44%,-0.69%,0.17%
2023/5/8,-0.98%,0.26%,-0.81%,-0.04%,-0.54%,-0.14%,-0.39%,0.19%,-0.16%,2.44%,-0.48%,-0.16%,-0.58%,-0.74%,-0.20%,-0.71%,-0.23%,0.24%,0.03%,0.59%,-0.64%,0.23%,-0.47%,0.16%,0.15%,-0.34%,0.00%,0.19%,-1.59%,0.63%
2023/5/5,1.48%,2.58%,2.00%,4.69%,0.65%,2.24%,2.55%,1.20%,0.47%,3.15%,1.97%,1.79%,1.35%,1.12%,0.88%,-0.80%,0.34%,1.95%,0.49%,0.26%,1.72%,2.36%,0.33%,2.71%,1.76%,1.44%,1.29%,2.74%,1.97%,0.86%
2023/5/4,-0.96%,-2.23%,1.13%,-0.99%,-1.93%,-2.44%,-0.39%,-0.57%,0.11%,-3.38%,0.68%,-2.25%,-2.50%,-0.88%,-0.71%,1.92%,-0.45%,-1.37%,-0.02%,-0.72%,0.33%,-2.42%,-0.46%,-0.12%,-0.01%,-0.44%,-1.66%,-0.17%,-1.28%,-0.10%
2023/5/3,-0.15%,-0.68%,-2.82%,-0.65%,-1.14%,0.23%,-2.01%,-0.86%,-0.56%,0.26%,-1.45%,-1.42%,-0.41%,-0.15%,-1.37%,2.96%,-1.31%,-2.12%,-0.96%,0.28%,-0.33%,-0.41%,-0.13%,-0.63%,-0.76%,-0.80%,0.82%,-0.44%,-4.60%,-0.37%
2023/5/2,-2.71%,-3.81%,-1.23%,-0.62%,-0.30%,-0.98%,-4.31%,-2.07%,-0.45%,-1.58%,-0.61%,-2.11%,-1.15%,-1.11%,-0.74%,-1.75%,0.87%,-1.61%,0.16%,1.33%,-0.05%,-0.52%,-0.09%,-2.00%,-0.68%,-0.47%,-2.69%,-2.38%,-3.21%,-0.27%
2023/5/1,-0.35%,-1.25%,-0.35%,-0.05%,-1.41%,-0.70%,-0.79%,0.19%,0.23%,-0.28%,-0.53%,-0.84%,-0.94%,0.32%,-0.25%,-2.45%,-0.06%,2.14%,0.62%,0.75%,-0.55%,0.95%,0.12%,-0.29%,0.34%,0.73%,-0.31%,-0.09%,-1.82%,0.41%
2023/4/28,0.84%,1.82%,-0.25%,0.75%,0.36%,2.09%,0.98%,1.48%,0.74%,2.57%,1.68%,0.54%,2.25%,0.62%,-0.44%,4.02%,0.43%,0.87%,0.35%,0.27%,0.80%,0.81%,-0.06%,1.24%,0.49%,0.33%,0.10%,1.62%,0.43%,-0.27%
2023/4/27,2.34%,1.75%,0.64%,2.84%,1.48%,-0.86%,0.58%,0.04%,0.20%,3.44%,1.75%,1.50%,2.03%,4.04%,0.89%,2.79%,0.23%,1.35%,1.71%,1.53%,3.20%,1.50%,1.22%,2.31%,2.06%,1.56%,5.07%,0.38%,0.83%,0.31%
2023/4/26,-1.39%,-0.26%,-2.48%,-0.01%,0.42%,-1.12%,-1.78%,-1.17%,-0.47%,-1.43%,0.15%,-0.86%,-2.79%,-2.58%,-0.03%,0.59%,-1.55%,-1.77%,-0.60%,-2.66%,7.24%,-0.66%,-1.16%,0.45%,-0.40%,-1.82%,-1.02%,-0.63%,-0.23%,-0.44%
2023/4/25,-0.66%,-2.78%,0.17%,-0.94%,-1.74%,-2.15%,-1.45%,-0.63%,-0.16%,-1.68%,-5.22%,-1.30%,-1.76%,-0.42%,0.39%,-2.63%,0.92%,-2.17%,-0.58%,0.51%,-2.25%,-1.91%,0.03%,-2.18%,-1.01%,0.61%,0.54%,-1.36%,-1.72%,-0.78%
